symbol,name,exchange,has_history,can_predict,prediction_mode,ui_greyed,ui_badge,last_updated
20MICRONS.NS,20 Microns Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
21STCENMGM.NS,21st Century Management Services Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
360ONE.NS,360 ONE WAM LIMITED,NSE,True,True,full,False,FULL,2026-01-27 19:47
3IINFOLTD.NS,3i Infotech Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
3MINDIA.NS,3M India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
3PLAND.NS,3P Land Holdings Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
5PAISA.NS,5Paisa Capital Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
63MOONS.NS,63 moons technologies limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
A2ZINFRA.NS,A2Z Infra Engineering Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AAATECH.NS,AAA Technologies Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AADHARHFC.NS,Aadhar Housing Finance Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AAKASH.NS,Aakash Exploration Services Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AARON.NS,Aaron Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AARTECH.NS,Aartech Solonics Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AARTIDRUGS.NS,Aarti Drugs Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AARTIIND.NS,Aarti Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AARTIPHARM.NS,Aarti Pharmalabs Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AARTISURF.NS,Aarti Surfactants Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AARVI.NS,Aarvi Encon Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
AAVAS.NS,Aavas Financiers Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABAN.NS,Aban Offshore Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABB.NS,ABB India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABBOTINDIA.NS,Abbott India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABCAPITAL.NS,Aditya Birla Capital Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABCOTS.NS,A B Cotspin India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABDL.NS,Allied Blenders and Distillers Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABFRL.NS,Aditya Birla Fashion and Retail Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABINFRA.NS,A B Infrabuild Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABLBL.NS,Aditya Birla Lifestyle Brands Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABMINTLLTD.NS,ABM International Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABREL.NS,Aditya Birla Real Estate Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACC.NS,ACC Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACCELYA.NS,Accelya Solutions India Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACCURACY.NS,Accuracy Shipping Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACE.NS,Action Construction Equipment Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACEINTEG.NS,Ace Integrated Solutions Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACI.NS,Archean Chemical Industries Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACL.NS,Andhra Cements Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
ACMESOLAR.NS,Acme Solar Holdings Limited,NSE,True,True,full,False,FULL,2026-01-27 19:47
